name;id;description;vendorId;link;preDefined
H3C MSR 30-1X;2273;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2273', '@rel': 'self', '@op': 'GET'};true
HPE DCN;2274;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2274', '@rel': 'self', '@op': 'GET'};true
Aruba200;2275;Aruba Networks;60;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2275', '@rel': 'self', '@op': 'GET'};true
H3C LA6600 Series;2276;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2276', '@rel': 'self', '@op': 'GET'};true
HPE FF 5940 Series;2277;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2277', '@rel': 'self', '@op': 'GET'};true
H3C S7500EA Series;2278;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2278', '@rel': 'self', '@op': 'GET'};true
DH-S7600 Series;2279;H3C Product Series;235;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2279', '@rel': 'self', '@op': 'GET'};true
DH-S4100 Series;2280;H3C Product Series;235;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2280', '@rel': 'self', '@op': 'GET'};true
DH-S5500 Series;2281;H3C Product Series;235;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2281', '@rel': 'self', '@op': 'GET'};true
DS-3E7600 Series;2282;H3C Product Series;234;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2282', '@rel': 'self', '@op': 'GET'};true
DS-3E2300 Series;2283;H3C Product Series;234;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2283', '@rel': 'self', '@op': 'GET'};true
DS-3E2500 Series;2284;H3C Product Series;234;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2284', '@rel': 'self', '@op': 'GET'};true
DS-3E2300P Series;2285;H3C Product Series;234;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2285', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 1000V Series;2286;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2286', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 1100 Series;2287;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2287', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 2000 Series;2288;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2288', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 2200 Series;2289;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2289', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 2300 Series;2290;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2290', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 3000 Series;2291;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2291', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 3500 Series;2292;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2292', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 5600 Series;2293;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2293', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 7000 Series;2294;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2294', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 9000 Series;2295;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2295', '@rel': 'self', '@op': 'GET'};true
Cisco Nexus 9300 Series;2296;Cisco Nexus Series Switches;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2296', '@rel': 'self', '@op': 'GET'};true
HPE Aruba 5400R zl2 Switch;2297;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2297', '@rel': 'self', '@op': 'GET'};true
H3C ICG30 Series;2298;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2298', '@rel': 'self', '@op': 'GET'};true
H3C MSR36X1 Series;2299;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2299', '@rel': 'self', '@op': 'GET'};true
H3C WA4300S Series;2300;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2300', '@rel': 'self', '@op': 'GET'};true
H3C WA4300H Series;2301;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2301', '@rel': 'self', '@op': 'GET'};true
H3C WCMX20 Series;2302;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2302', '@rel': 'self', '@op': 'GET'};true
H3C S6520-EI Series;2303;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2303', '@rel': 'self', '@op': 'GET'};true
H3C WAC380 Series;2304;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2304', '@rel': 'self', '@op': 'GET'};true
H3C SecBladeIV IPS Series;2305;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2305', '@rel': 'self', '@op': 'GET'};true
H3C ICG50 Series;2306;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2306', '@rel': 'self', '@op': 'GET'};true
H3C SecBladeIV ADE Series;2307;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2307', '@rel': 'self', '@op': 'GET'};true
Cisco Catalyst 3850 Series;2308;Cisco Catalyst 3850 Series Switch;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2308', '@rel': 'self', '@op': 'GET'};true
Aruba 103 Series;2309;Aruba Networks;60;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2309', '@rel': 'self', '@op': 'GET'};true
Aruba 210 Series;2310;Aruba Networks;60;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2310', '@rel': 'self', '@op': 'GET'};true
Aruba 220 Series;2311;Aruba Networks;60;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2311', '@rel': 'self', '@op': 'GET'};true
Aruba 310 Series;2312;Aruba Networks;60;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2312', '@rel': 'self', '@op': 'GET'};true
Aruba 320 Series;2313;Aruba Networks;60;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2313', '@rel': 'self', '@op': 'GET'};true
Aruba 330 Series;2314;Aruba Networks;60;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2314', '@rel': 'self', '@op': 'GET'};true
H3C S7000EA Series;2315;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2315', '@rel': 'self', '@op': 'GET'};true
