name;preDefined;contact;iconId;description;link;phone;id
CAYMAN;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/78', '@rel': 'self', '@op': 'GET'};;78
China Merchants Bank;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/79', '@rel': 'self', '@op': 'GET'};;79
CMC;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/80', '@rel': 'self', '@op': 'GET'};;80
Compatible Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/81', '@rel': 'self', '@op': 'GET'};;81
Compuprint;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/82', '@rel': 'self', '@op': 'GET'};;82
Comtrend;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/83', '@rel': 'self', '@op': 'GET'};;83
Contec;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/84', '@rel': 'self', '@op': 'GET'};;84
Copper Mountain;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/85', '@rel': 'self', '@op': 'GET'};;85
Corecess;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/86', '@rel': 'self', '@op': 'GET'};;86
Cray;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/87', '@rel': 'self', '@op': 'GET'};;87
Crossbeam;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/88', '@rel': 'self', '@op': 'GET'};;88
Cryptek;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/89', '@rel': 'self', '@op': 'GET'};;89
Cyclades;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/90', '@rel': 'self', '@op': 'GET'};;90
D.N.A. SNMP;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/91', '@rel': 'self', '@op': 'GET'};;91
DASAN;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/92', '@rel': 'self', '@op': 'GET'};;92
Datum;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/93', '@rel': 'self', '@op': 'GET'};;93
DEC;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/94', '@rel': 'self', '@op': 'GET'};;94
Dell;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/95', '@rel': 'self', '@op': 'GET'};;95
DeveIcon;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/96', '@rel': 'self', '@op': 'GET'};;96
Digi;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/97', '@rel': 'self', '@op': 'GET'};;97
Digital Products;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/98', '@rel': 'self', '@op': 'GET'};;98
DPS Telecom;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/99', '@rel': 'self', '@op': 'GET'};;99
Eastern Research;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/100', '@rel': 'self', '@op': 'GET'};;100
Efficient Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/101', '@rel': 'self', '@op': 'GET'};;101
EMC;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/102', '@rel': 'self', '@op': 'GET'};;102
Engage Communication;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/103', '@rel': 'self', '@op': 'GET'};;103
Epson;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/104', '@rel': 'self', '@op': 'GET'};;104
Equinox Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/105', '@rel': 'self', '@op': 'GET'};;105
Ericsson;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/106', '@rel': 'self', '@op': 'GET'};;106
Extended Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/107', '@rel': 'self', '@op': 'GET'};;107
F5;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/108', '@rel': 'self', '@op': 'GET'};;108
Farallon Computing;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/109', '@rel': 'self', '@op': 'GET'};;109
Fibronics;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/110', '@rel': 'self', '@op': 'GET'};;110
FlowPoint;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/111', '@rel': 'self', '@op': 'GET'};;111
Fluke Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/112', '@rel': 'self', '@op': 'GET'};;112
Fuji Xerox;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/113', '@rel': 'self', '@op': 'GET'};;113
Fujitsu;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/114', '@rel': 'self', '@op': 'GET'};;114
General Signal Power Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/115', '@rel': 'self', '@op': 'GET'};;115
Groupe Schneider;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/116', '@rel': 'self', '@op': 'GET'};;116
